imdb_rating,imdb_num_votes,critics_score,audience_score,runtime,genre,mpaa_rating,best_pic_win
5.5,899,45,73,80,Drama,R,no
7.3,12285,96,81,101,Drama,PG-13,no
7.6,22381,91,91,84,Comedy,R,no
7.2,35096,80,76,139,Drama,PG,no
5.1,2386,33,27,90,Horror,R,no
7.8,333,91,86,78,Documentary,Unrated,no
7.2,5016,57,76,142,Drama,PG-13,no
5.5,2272,17,47,93,Drama,R,no
7.5,880,90,89,88,Documentary,Unrated,no
6.6,12496,83,66,119,Drama,Unrated,no
6.8,71979,89,75,127,Action & Adventure,PG,no
6,9669,67,46,108,Drama,PG-13,no
7.6,201779,80,89,110,Comedy,R,no
5.9,25808,25,53,100,Comedy,PG-13,no
3.6,5544,15,36,111,Comedy,PG,no
7,240033,78,64,96,Drama,R,no
7.2,66489,54,80,140,Drama,R,no
6.9,6336,61,92,106,Drama,R,no
4.4,37769,19,24,91,Horror,R,no
3.6,21268,29,19,90,Drama,PG-13,no
7,56201,40,73,124,Drama,R,no
7.6,3459,92,86,82,Documentary,Unrated,no
6.2,16717,66,42,107,Drama,R,no
6.2,9357,47,71,116,Drama,PG-13,no
7.6,4541,79,77,87,Documentary,Unrated,no
5.3,1816,40,41,97,Comedy,PG,no
7.1,163490,51,81,178,Drama,PG-13,no
5.6,19285,77,43,84,Horror,R,no
6.4,3688,91,61,115,Art House & International,R,no
7.9,3488,92,91,100,Musical & Performing Arts,R,no
7.1,82851,91,71,85,Mystery & Suspense,R,no
7,56128,68,77,87,Animation,PG,no
7.7,33101,69,85,85,Science Fiction & Fantasy,G,no
7.1,259822,69,70,124,Mystery & Suspense,R,no
6.6,4908,40,57,112,Documentary,R,no
6.5,290356,52,55,108,Action & Adventure,PG,no
7,47297,76,70,135,Drama,R,no
6.1,2145,13,51,115,Drama,PG,no
8.4,466400,98,94,137,Action & Adventure,R,no
7.4,69338,81,81,99,Drama,PG,yes
6.6,6228,69,64,106,Drama,R,no
7.8,75468,90,88,130,Drama,R,no
6.5,48519,21,64,98,Drama,R,no
5.4,13523,57,40,94,Comedy,R,no
7.8,58668,88,94,154,Drama,PG-13,no
6.5,9654,54,62,113,Comedy,PG-13,no
6.7,22079,67,64,115,Drama,PG-13,no
6.7,5258,50,49,135,Drama,PG-13,no
2.7,761,17,17,106,Drama,PG,no
6.2,33839,35,40,125,Drama,R,no
7.3,183,73,88,65,Documentary,Unrated,no
7.7,225130,27,75,123,Drama,PG-13,no
6.5,62241,52,56,119,Mystery & Suspense,PG-13,no
6.6,19714,34,52,120,Drama,R,no
7.4,137126,84,83,162,Drama,R,yes
6.8,10468,44,72,140,Drama,R,no
6.5,37770,46,59,115,Drama,R,no
5.5,1628,56,38,102,Drama,R,no
5.5,5587,6,35,79,Mystery & Suspense,R,no
6.4,6247,64,43,108,Mystery & Suspense,R,no
6.3,8646,81,54,98,Comedy,PG-13,no
6,8320,50,44,100,Drama,R,no
8.5,2362,96,96,106,Documentary,Unrated,no
7.8,1942,96,89,92,Documentary,Unrated,no
6.6,110238,43,58,115,Mystery & Suspense,PG-13,no
4.4,21501,12,52,87,Animation,G,no
8.1,14359,100,90,103,Documentary,Unrated,no
6.5,12450,75,55,127,Musical & Performing Arts,R,no
6.4,21704,63,52,90,Drama,R,no
7.2,4375,40,85,119,Drama,PG,no
6.2,48324,40,43,135,Drama,R,no
5.5,4768,13,30,91,Comedy,R,no
5.9,2944,24,38,101,Mystery & Suspense,R,no
6.8,6788,79,75,93,Comedy,PG,no
6.5,24783,65,55,101,Horror,PG,no
6,3745,54,39,130,Drama,R,no
6.4,54726,48,59,101,Animation,G,no
5.9,1493,59,47,99,Drama,R,no
4.4,5616,21,24,100,Comedy,PG-13,no
7.6,10492,96,87,106,Drama,R,no
7.3,4451,60,83,116,Drama,R,no
6.8,12269,71,81,90,Comedy,R,no
5.7,60335,32,35,117,Action & Adventure,R,no
5.5,5035,29,34,83,Action & Adventure,R,no
8.2,315051,82,92,140,Drama,PG-13,no
5.9,82737,42,55,106,Drama,PG,no
6.1,4944,70,54,94,Drama,R,no
3.6,8229,17,14,91,Drama,R,no
6.8,4516,92,76,108,Drama,R,no
5.7,7858,9,40,100,Comedy,R,no
7.4,10938,84,82,126,Drama,Unrated,no
7.8,279704,78,87,107,Action & Adventure,R,no
5.8,11192,78,41,94,Mystery & Suspense,R,no
6.2,3851,40,75,94,Comedy,R,no
5.8,1838,71,43,97,Drama,R,no
6.2,6552,50,52,109,Drama,R,no
5.7,390,29,25,104,Drama,PG-13,no
7.2,68429,62,74,117,Mystery & Suspense,R,no
8.1,182983,98,93,93,Comedy,PG,yes
8,1147,95,90,132,Documentary,Unrated,no
7.2,35635,93,80,95,Drama,R,no
5.9,2569,40,34,102,Drama,R,no
5.9,13980,68,37,101,Drama,R,no
7.7,11477,86,86,105,Drama,R,no
4.1,9853,9,33,84,Comedy,PG-13,no
6.4,14970,39,45,102,Drama,R,no
7.3,9001,92,81,90,Drama,R,no
6.2,35868,22,48,122,Drama,R,no
5.4,41767,21,24,107,Action & Adventure,PG,no
3.8,6954,17,35,97,Comedy,PG,no
8.5,893008,88,91,165,Other,R,no
6.2,3467,50,69,109,Drama,PG-13,no
7,117688,66,75,126,Drama,R,no
5.1,2817,17,43,89,Comedy,PG-13,no
5.8,32751,14,35,102,Mystery & Suspense,R,no
6.3,5704,19,78,123,Drama,PG,no
7.6,318,97,78,96,Musical & Performing Arts,Unrated,no
6.6,123989,52,64,127,Action & Adventure,R,no
5.6,70209,38,40,103,Action & Adventure,G,no
7.8,541,86,88,111,Documentary,Unrated,no
6.1,132215,48,43,120,Drama,PG-13,no
6.7,127458,67,65,86,Drama,R,no
3.5,27769,35,46,99,Drama,R,no
5.8,52635,14,55,101,Comedy,PG-13,no
7.1,12819,81,75,121,Drama,R,no
3.5,6054,4,67,91,Comedy,R,no
6.2,9367,84,54,92,Horror,Unrated,no
6.2,17798,32,41,95,Comedy,R,no
6.7,26010,69,75,93,Drama,R,no
7.5,4515,79,76,98,Drama,R,no
7.3,535,100,74,39,Documentary,Unrated,no
7.4,71572,79,87,107,Drama,R,no
3.4,57933,3,37,91,Comedy,PG,no
7.5,1784,100,86,157,Documentary,Unrated,no
7.2,3883,70,79,118,Drama,R,no
6.7,2282,80,42,126,Drama,PG-13,no
6.3,105745,36,63,88,Comedy,PG,no
5.3,104457,66,38,94,Drama,R,no
5.6,205065,37,51,92,Action & Adventure,PG,no
7.8,562136,79,84,100,Comedy,R,no
5.7,1778,50,44,91,Comedy,G,no
5.6,7628,15,33,92,Drama,PG,no
7.1,17934,60,74,100,Drama,R,no
7.3,2502,80,78,96,Drama,Unrated,no
6.7,13092,67,59,155,Drama,PG,no
6.6,1010,100,74,90,Other,PG,no
6.3,4687,63,55,113,Action & Adventure,G,no
6.6,48137,60,52,138,Drama,PG-13,no
7.8,164112,89,89,118,Drama,PG-13,no
7.5,30921,96,82,115,Drama,PG-13,no
3.8,37640,4,22,127,Action & Adventure,PG-13,no
6.8,95327,91,85,117,Musical & Performing Arts,PG,no
6.5,289825,74,66,123,Mystery & Suspense,PG-13,no
6.5,15525,93,61,102,Drama,PG,no
4.2,43268,3,33,99,Action & Adventure,PG-13,no
6.3,3153,33,43,100,Action & Adventure,PG,no
6,1887,55,50,123,Drama,R,no
4.5,3096,4,49,86,Comedy,PG-13,no
7.4,112216,63,84,97,Drama,R,no
6.4,154674,51,62,131,Drama,PG-13,no
6.7,12535,79,63,126,Drama,R,no
7.4,3363,100,83,97,Drama,R,no
6.3,40659,53,65,114,Action & Adventure,PG-13,no
7.4,82378,91,74,120,Drama,PG-13,no
5.1,3135,41,61,94,Drama,PG,no
7.3,1489,85,70,90,Documentary,PG,no
6.8,41385,59,62,125,Drama,R,no
6.7,88523,71,69,128,Comedy,PG-13,no
6.6,12221,75,63,91,Drama,R,no
5.9,6304,36,39,97,Horror,R,no
5.1,9565,19,32,85,Horror,R,no
7.2,15913,94,79,129,Drama,PG-13,no
8.1,414687,96,87,101,Other,PG,no
7.2,33720,67,70,107,Drama,R,no
7.4,325,53,71,98,Documentary,Unrated,no
7.8,22245,72,86,103,Action & Adventure,R,no
5.7,17133,52,33,106,Drama,PG-13,no
6.7,23821,79,70,108,Drama,R,no
7.7,13285,85,87,123,Drama,R,no
6.7,192052,33,68,100,Action & Adventure,R,no
6.9,211129,54,83,110,Drama,PG,no
7.7,146518,78,85,135,Drama,R,no
5.4,2239,50,39,100,Comedy,PG,no
6,486,31,44,95,Drama,R,no
4.1,7658,4,17,92,Drama,R,no
6.1,1268,11,58,107,Drama,R,no
2.4,64119,3,11,118,Action & Adventure,PG-13,no
6.2,24678,55,41,95,Comedy,PG,no
7.6,6114,100,85,105,Drama,PG,no
6.5,9399,37,49,93,Drama,PG,no
7.8,414650,92,79,100,Drama,R,no
6.5,15291,60,54,104,Drama,R,no
5.9,725,33,41,112,Drama,R,no
7.1,93331,40,77,123,Drama,PG-13,no
7.4,9876,89,79,154,Drama,R,no
7.7,9525,84,85,115,Drama,R,no
7.2,44741,76,80,90,Comedy,PG,no
7.3,285,78,89,74,Documentary,Unrated,no
5.8,3673,67,31,105,Drama,R,no
6.1,79970,38,46,95,Action & Adventure,PG-13,no
8.1,1058,79,92,84,Documentary,Unrated,no
6.9,60220,72,62,91,Comedy,R,no
4.1,5591,21,36,94,Comedy,PG,no
7.3,340,100,80,82,Documentary,Unrated,no
6.3,50340,60,57,98,Drama,PG-13,no
6,2934,61,55,92,Drama,R,no
5.7,5564,24,55,91,Action & Adventure,PG,no
8.2,753592,73,90,132,Drama,R,no
6.4,1141,83,75,98,Drama,PG,no
6.2,3967,67,40,126,Drama,R,no
7.1,287476,63,71,110,Mystery & Suspense,PG-13,no
7.4,94983,67,86,149,Mystery & Suspense,R,no
7,56185,90,73,119,Other,R,no
6.4,3138,82,61,146,Drama,R,no
6.4,25264,55,45,125,Mystery & Suspense,R,no
4.1,9424,29,70,103,Drama,PG-13,no
6.2,16681,31,56,114,Action & Adventure,PG,no
5.3,1308,10,56,83,Drama,PG-13,no
7.9,87215,97,91,85,Musical & Performing Arts,R,no
7.3,121245,83,81,105,Action & Adventure,R,no
6.4,71112,22,46,110,Mystery & Suspense,R,no
6.7,72295,74,65,90,Comedy,PG-13,no
3.8,2289,22,21,90,Other,R,no
6.4,84191,59,49,124,Drama,PG-13,no
6.6,235529,51,48,112,Comedy,R,no
8,168032,98,90,115,Drama,R,no
5.4,56329,44,31,104,Drama,PG-13,no
7.6,2849,100,84,90,Documentary,Unrated,no
6.8,26360,35,77,120,Drama,PG-13,no
6.5,5762,64,48,86,Art House & International,R,no
5.9,8521,25,45,94,Drama,R,no
6.6,191935,30,58,103,Action & Adventure,R,no
7.8,872,100,73,267,Documentary,Unrated,no
5.1,8999,14,27,95,Drama,R,no
7.6,184656,84,85,110,Drama,R,no
7.2,2098,44,86,89,Mystery & Suspense,R,no
7.7,375820,90,83,143,Drama,PG-13,no
4.8,19187,11,25,92,Action & Adventure,PG,no
6.4,1406,60,61,90,Drama,R,no
7,16755,51,78,103,Drama,R,no
5.6,9003,64,40,108,Drama,Unrated,no
6.3,5014,75,51,110,Mystery & Suspense,R,no
6.1,2818,56,40,97,Horror,R,no
7.9,38076,100,87,94,Documentary,PG-13,no
6.7,137405,64,66,89,Action & Adventure,PG,no
5.6,56361,24,52,97,Drama,PG-13,no
7,7244,67,75,85,Mystery & Suspense,R,no
5.7,2701,23,40,110,Drama,PG-13,no
4.8,18712,7,38,97,Comedy,R,no
6.3,25054,43,49,106,Mystery & Suspense,R,no
3.8,1510,10,63,84,Comedy,R,no
7.4,8544,88,83,118,Action & Adventure,G,no
7.3,8561,56,81,103,Drama,R,no
6.7,151934,28,61,88,Drama,R,no
7.1,52449,85,80,91,Drama,R,no
5.9,11001,32,46,128,Drama,PG-13,no
6.5,42613,63,64,100,Drama,R,no
4.1,3505,33,19,88,Drama,Unrated,no
6.9,74294,53,78,107,Horror,R,no
7.5,1480,75,80,86,Documentary,G,no
4.5,703,17,33,101,Action & Adventure,PG-13,no
6,103789,51,51,111,Action & Adventure,PG-13,no
7.5,42842,94,81,106,Art House & International,Unrated,no
6.8,26731,58,65,95,Action & Adventure,R,no
7.8,26628,100,90,85,Drama,PG,no
7,149437,60,85,92,Comedy,PG-13,no
6.7,9291,76,71,101,Drama,PG-13,no
7.8,157701,93,90,81,Drama,R,no
6.1,14901,67,50,101,Comedy,PG,no
6.4,1361,86,51,97,Mystery & Suspense,R,no
7.8,47065,80,87,99,Drama,R,no
6.9,12606,85,69,97,Comedy,PG-13,no
7.8,246587,93,87,112,Drama,R,no
7.6,42208,59,84,111,Drama,PG,no
7.6,9216,31,86,108,Drama,Unrated,no
7,201787,85,71,120,Action & Adventure,PG-13,no
7.1,19000,89,82,113,Mystery & Suspense,G,no
7.5,1799,61,72,92,Documentary,R,no
5.9,12877,28,59,101,Drama,R,no
6.8,9025,60,76,134,Drama,R,no
5.7,5985,36,45,77,Horror,R,no
6.7,30886,43,63,74,Animation,G,no
5.6,4970,21,29,106,Drama,R,no
6.3,2732,33,72,107,Art House & International,R,no
5.1,3336,44,40,87,Comedy,PG,no
7.2,252661,93,76,116,Mystery & Suspense,R,no
7.4,30641,81,84,91,Drama,R,no
7,22601,86,71,83,Drama,NC-17,no
6.1,7076,76,42,106,Drama,R,no
7.2,161601,78,88,110,Other,PG,no
7.6,285328,87,85,113,Science Fiction & Fantasy,R,no
7.3,2598,100,75,110,Drama,Unrated,no
7.2,108598,94,76,100,Drama,R,no
6.7,20655,83,66,90,Drama,R,no
5.3,12322,15,55,89,Comedy,PG,no
7.1,99192,51,76,110,Drama,R,no
5.6,44257,28,42,93,Mystery & Suspense,R,no
6.7,77762,22,74,115,Drama,PG-13,no
7.4,368799,82,79,161,Science Fiction & Fantasy,PG,no
6.2,2830,25,64,90,Drama,PG-13,no
6,2960,21,48,104,Art House & International,PG-13,no
5.2,46233,24,23,86,Science Fiction & Fantasy,PG-13,no
6.5,9980,25,61,111,Art House & International,R,no
6.2,8016,45,66,130,Drama,R,no
5.6,37938,11,45,88,Drama,PG-13,no
6.5,16480,52,54,108,Other,R,no
6.3,63219,80,49,94,Drama,R,no
6.5,4251,71,59,97,Drama,R,no
6.4,23697,89,60,90,Drama,R,no
6.3,53675,34,48,108,Horror,R,no
6.5,9787,43,58,87,Drama,R,no
5.1,1978,36,28,91,Comedy,R,no
5.3,9370,15,31,93,Comedy,R,no
7.8,10380,91,87,140,Drama,R,no
6.9,73280,42,68,105,Drama,R,no
5.9,7656,67,47,91,Science Fiction & Fantasy,R,no
6.2,11855,39,37,124,Mystery & Suspense,R,no
7.5,172765,88,83,102,Drama,R,no
6.9,23201,20,84,91,Documentary,R,no
6.4,8604,48,74,135,Drama,R,no
7,14949,87,79,100,Comedy,PG-13,no
6.1,1995,73,44,112,Drama,R,no
6.9,15806,14,84,119,Action & Adventure,R,no
5.3,30694,30,27,116,Action & Adventure,PG-13,no
6.5,56888,56,51,107,Comedy,PG-13,no
7,4821,78,64,134,Drama,Unrated,no
5.8,3145,40,41,81,Horror,R,no
